Kod	Nazwa
21S13/05 F/F CH	Sklejka topolowa foliowana 21x1250x2500 F/F
21S13/05 F/F LOGO	Sklejka liściasta foliowana 21x1250x2500 F/F logo
21S13/05 F/F RCH	Sklejka topolowa foliowana 21x1250x2500 F/F
21S13/07 F/F	Sklejka liściasta foliowana 21x1500x2500 F/F
21S13/09 F/F	Sklejka liściasta foliowana 21x1525x2500 F/F
21S13/11 F/F	Sklejka liściasta foliowana 21x1525x3050 F/F
21S13/12 F/F	Sklejka liściasta foliowana 21x1500x3000 F/F
21S13/12 F/F 220g	Sklejka liściasta foliowana 21x1500x3000 F/F film 220g/m2
21S13/12 F/F LOGO	Sklejka liściasta foliowana 21x1500x3000 F/F logo
21S13/23 F/F	Sklejka liściasta foliowana 21x1500x2700 F/F
21S13/26 F/F	Sklejka liściasta foliowana 21x2150x1250 F/F
21S13/27 F/F	Sklejka liściasta foliowana 21x2150x3850 F/F
21S13/29 F/F	Sklejka liściasta foliowana 21x1250x3050 F/F
21S13/56 F/F	Sklejka liściasta foliowana 21x1525x2750 F/F
21S13/56 F/F logo	Sklejka liściasta foliowana 21x1525x2750 F/F
21S13/57 F/F	Sklejka liściasta foliowana 21x2150x3340 F/F
21S13/60 F/F	Sklejka liściasta foliowana 18x1250x2750 F/F
21S13/62 F/F	Sklejka liściasta foliowana 21x2150x3050 F/F
21S13/75 F/F	Sklejka liściasta foliowana 21x2150x4000 F/F
21S13/75 F/F grey	Sklejka liściasta foliowana 21x2150x4000 F/F szara
21S13/75 F/F grey/d.br.	Sklejka liściasta foliowana 21x2150x4000 F/F szara/ciemny brąz
21S13/76 F/F	Sklejka liściasta foliowana 21x1525x3660 F/F
21S13/82 F/F	Sklejka liściasta foliowana 21x1500x3600 F/F
21S13/90 F/F	Sklejka liściasta foliowana 21x1525x3340 F/F
21S13/90 F/F logo	Sklejka liściasta foliowana 21x1525x3340 F/F logo
21S13/98 F/F	Sklejka liściasta foliowana 21x1250x3340 F/F
21S14/03 F/W	Sklejka liściasta antypoślizgowa 21x1220x2440 F/W
21S14/05 F/W	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W
21S14/05 F/W black	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W czarna
21S14/05 F/W EUK	Sklejka antypoślizgowa eukaliptus 21x1250x2500 F/W
21S14/05 F/W green	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W zielona
21S14/05 F/W Logo	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W logo
21S14/05 F/W TPO	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W COMPOSITE TPO szara
21S14/05 F/W white/grey	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W biała/szara
21S14/05 F/WH+	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W heksa plus
21S14/05 F/WH+ black	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W heksa plus czarna
21S14/05 F/WH+ grey	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W heksa plus szara
21S14/05 F/WH+ grey/d.br.	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W heksa plus szara/ciemny brąz
21S14/05 F/WH+ yell.	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W heksa plus żółta
21S14/05 M/WH+ grey	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W heksa plus szara/biała
21S14/07 F/W	Sklejka liściasta antypoślizgowa 21x1500x2500 F/W
21S14/07 F/W 220	Sklejka liściasta antypoślizgowa 21x1500x2500 F/W 220 g/m2
21S14/07 F/WT Rhomb	Sklejka liściasta antypoślizgowa 21x1500x2500 F/W romb
21S14/09 F/W	Sklejka liściasta antypoślizgowa 21x1525x2500 F/W
21S14/09 F/W logo	Sklejka liściasta antypoślizgowa 21x1525x2500 F/W logo
21S14/11 F/W	Sklejka liściasta antypoślizgowa 21x1525x3050 F/W
21S14/11 F/W grey	Sklejka liściasta antypoślizgowa 21x1525x3050 F/W szara
21S14/11 F/WH + grey	Sklejka liściasta antypoślizgowa 21x1525x3050 F/W heksa plus szara
21S14/11 F/WH+ black	Sklejka liściasta antypoślizgowa 21x1525x3050 F/W heksa plus czarna FSC Mix Credit SGSCH-COC-009690
21S14/12 F/W	Sklejka liściasta antypoślizgowa 21x1500x3000 F/W
21S14/12 F/WH+	Sklejka liściasta antypoślizgowa 21x1500x3000 F/W heksa plus
21S14/12 F/WH+ black	Sklejka liściasta antypoślizgowa 21x1500x3000 F/W Heksa Plus czarna FSC Mix Credit SGSCH-COC-009690
21S14/26 F/W	Sklejka liściasta antypoślizgowa 21x2150x1250 F/W
21S14/27 F/W	Sklejka liściasta antypoślizgowa 21x2150x3850 F/W
21S14/28 F/W	Sklejka liściasta antypoślizgowa 21x1525x3000 F/W
21S14/57 F/W	Sklejka liściasta antypoślizgowa 21x2150x3340 F/W
21S14/75 F/W	Sklejka liściasta antypoślizgowa 21x2150x4000 F/W
21S14/75 H+	Sklejka liściasta antypoślizgowa 21x2150x4000 F/W heksa plus
21S14/xcut 250x2550	sklejka liściasta WD, gr. 21 mm antypoślizgowa 250x2550
21S15/03 F/W	Sklejka liściasta antypoślizgowa 21x1220x2440 F/W
21S15/05 F/W	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W
21S15/05 F/W black	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W black
21s15/05 F/W grey	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W szara
21S15/05 F/W grey/d.br	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W szara/ciemny brąz
21S15/05 F/W logo	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W logo
21S15/05 F/WH+	Sklejka liściasta antypoślizgowa 21x1250x2500 F/W heksa plus
21S15/07 F/W	Sklejka liściasta antypoślizgowa 21x1500x2500 F/W
21S15/09 F/W	Sklejka liściasta antypoślizgowa 21x1525x2500 F/W
21S15/11 F/W	Sklejka liściasta antypoślizgowa 21x1525x3050 F/W
21S15/12 F/W	Sklejka liściasta antypoślizgowa 21x1500x3000 F/W
21S15/27 F/W	Sklejka liściasta antypoślizgowa 21x2150x3850 F/W
21S15/28 F/W	Sklejka liściasta antypoślizgowa 21x1525x3000 F/W
21S15/39 F/W	Sklejka liściasta antypoślizgowa 21x1220x2500 F/W
21S15/62 F/W	Sklejka liściasta foliowana 21x2150x3050 F/W
21S15/75 F/W	Sklejka liściasta antypoślizgowa 21x2150x4000 F/W
21S15/75 F/WH+	Sklejka liściasta antypoślizgowa 21x2150x4000 F/W heksa plus
21S15/77 F/W	Sklejka liściasta antypoślizgowa 21x2290x4000 F/W
21S16/11 F/W	Sklejka liściasta antypoślizgowa 21x1525x3050 W/W
21S16/75 W/W	Sklejka liściasta antypoślizgowa 21x2150x4000 W/W
21S18/02	Sklejka liściasta suchotrwała 21x1525x1525 CP/C
21S18/02 B	Sklejka liściasta suchotrwała 21x1525x1525 CP/C
21S18/03 E	Sklejka liściasta wodoodporna 21x1220x2440 CP/C
21S18/04 E	Sklejka liściasta wodoodporna 21x2440x1220 CP/C
21S18/05 E	Sklejka liściasta wodoodporna 21x1250x2500 CP/C
21S18/06 E	Sklejka liściasta wodoodporna 21x2500x1250 CP/C
21S18/11 E	Sklejka liściasta wodoodporna 21x1525x3050 CP/C
21S18/12 E	Sklejka liściasta wodoodporna 21x1500x3000 CP/C
21S18/28 E shop	Sklejka liściasta wodoodporna 21x1525x3000 CP/C shop
21S18/39 E	Sklejka liściasta wodoodporna 21x1220x2500 CP/C
21S20/05 E	Sklejka liściasta foliowana 21x1250x2500 F/BB
21S20/05 F/BB grey	Sklejka liściasta foliowana 21x1250x2500 F/BB szara
21S20/62 E	Sklejka liściasta foliowana 21x2150x3050 F/BB
21S21/05 E	Sklejka liściasta foliowana 21x1250x2500 F/WG
21S21/27 F/WGE	Sklejka liściasta foliowana 21x2150x3850 F/WG
21S21/57 F/WGE	Sklejka liściasta foliowana 21x2150x3340 F/WG
21S21/75 F/WGE	Sklejka liściasta foliowana 21x2150x4000 F/WG
21S22/02	Sklejka liściasta suchotrwała 21x1525x1525 BB/C
21S22/02 E	Sklejka liściasta wodoodporna 21x1525x1525 BB/C
21S22/03 E	Sklejka liściasta wodoodporna 21x1220x2440 BB/C
21S22/04 E	Sklejka liściasta wodoodporna 21x2440x1220 BB/C
21S22/05 E	Sklejka liściasta wodoodporna 21x1250x2500 BB/C
21S22/06 E	Sklejka liściasta wodoodporna 21x2500x1250 BB/C
21S22/11	Sklejka liściasta suchotrwała 21x1525x3050 BB/C
21S22/12 E	Sklejka liściasta wodoodporna 21x1500x3000 BB/C
22S04/05 E	Sklejka liściasta wodoodporna 22x1250x2500 BB/BB
22S04/05 MR	Sklejka liściasta suchotrwała 22x1250x2500 BB/BB
22S06/05 E	Sklejka liściasta wodoodporna 22x1250x2500 BB/WG
22S06/05 MR	Sklejka liściasta suchotrwała 22x1250x2500 BB/WG
22S06/11 MR	Sklejka liściasta suchotrwała 22x1525x3050 BB/WG
22S09/05 MR	Sklejka liściasta suchotrwała 22x1250x2500 WG/WG
22S11/03 PQ	Sklejka liściasta foliowana 22x1220x2440
22S13/12 Mel/Mel c.less	Sklejka liściasta suchotrwała 22x1500x3000 M/M Transparentna
22S15/07 F/W	Sklejka liściasta antypoślizgowa 22x1500x2500 F/W
22S31/05	Płyta OSB3 22x1250x2500
22S32/05 P/W	Płyta budowlana OSB-3 22mm 1250x2500 P/W
22S32/72 P/W	Płyta budowlana OSB-3 22mm 675x2500 P/W
22S32/72 P/W 625X2500	Płyta Budowlana OSB 22mm P/W 625x2500
24S02/02	Sklejka liściasta suchotrwała 24x1525x1525 B/BB
24S02/06 E	Sklejka liściasta wodoodporna 24x2500x1250 B/BB
24S03/06 E	Sklejka liściasta wodoodporna 24x2500x1250 S/BB
24S04/02	Sklejka liściasta suchotrwała 24x1525x1525 BB/BB
24S04/02 E	Sklejka liściasta wodoodporna 24x1525x1525 BB/BB
24S04/03 E	Sklejka liściasta wodoodporna 24x1220x2440 BB/BB
24S04/04 E	Sklejka liściasta wodoodporna 24x2440x1220 BB/BB
24S04/05 E	Sklejka liściasta wodoodporna 24x1250x2500 BB/BB
24S04/06 E	Sklejka liściasta wodoodporna 24x2500x1250 BB/BB
24S04/11 E	Sklejka liściasta wodoodporna 24x1525x3050 BB/BB
24S04/12 E	Sklejka liściasta wodoodporna 24x1500x3000 BB/BB
24S04/39 E	Sklejka liściasta wodoodporna 24x1220x2500 BB/BB
24S05/02	Sklejka liściasta suchotrwała 24x1525x1525 BB/CP
24S05/02 B	Sklejka liściasta suchotrwała 24x1525x1525 BB/CP
24S05/03 E	Sklejka liściasta wodoodporna 24x1220x2440 BB/CP
24S05/03 MR	Sklejka liściasta suchotrwała 24x1220x2440 BB/CP
24S05/04 E	Sklejka liściasta wodoodporna 24x2440x1220 BB/CP
24S05/05 E	Sklejka liściasta wodoodporna 24x1250x2500 BB/CP
24S05/06 E	Sklejka liściasta wodoodporna 24x2500x1250 BB/CP
24S05/11 E	Sklejka liściasta wodoodporna 24x1525x3050 BB/CP
24S05/12 E	Sklejka liściasta wodoodporna 24x1500x3000 BB/CP
24S06/03 E	Sklejka liściasta wodoodporna 24x1220x2440 BB/WG
24S06/04 E	Sklejka liściasta wodoodporna 24x2440x1220 BB/WG
24S06/05 E	Sklejka liściasta wodoodporna 24x1250x2500 BB/WG
24S06/06 E	Sklejka liściasta wodoodporna 24x2500x1250 BB/WG
24S06/11 E	Sklejka liściasta wodoodporna 24x1525x3050 BB/WG
24S06/12 E	Sklejka liściasta wodoodporna 24x1500x3000 BB/WG
24S06/27 E	Sklejka liściasta wodoodporna 24x2150x3850 BB/WG
24S06/29 E	Sklejka liściasta wodoodporna 24x1250x3050 BB/WG
24S06/57 E	Sklejka liściasta wodoodporna 24x2150x3340 BB/WG
24S06/76 E	Sklejka liściasta wodoodporna 24x1525x3660 BB/WG
24S06/GIR 1970x990	sklejka liścista WD, gr. 24mm 1970x990mm
24S07/02	Sklejka liściasta suchotrwała 24x1525x1525 CP/CP
24S07/04 E	Sklejka liściasta wodoodporna 24x2440x1220 CP/CP
24S07/05 E	Sklejka liściasta wodoodporna 24x1250x2500 CP/CP
24S07/06 E	Sklejka liściasta wodoodporna 24x2500x1250 CP/CP
24S07/07 E	Sklejka liściasta wodoodporna 24x1500x2500 CP/CP
24S07/11 E	Sklejka liściasta wodoodporna 24x1525x3050 CP/CP
24S07/115 E	Sklejka liściasta wodoodporna 24x1540x3065 CP/CP
24S07/12 E	Sklejka liściasta wodoodporna 24x1500x3000 CP/CP
24S07/19 E	Sklejka liściasta wodoodporna 24x1300x3050 CP/CP
24S09/02 E	Sklejka liściasta wodoodporna 24x1525x1525 WG/WG
24S09/03 E	Sklejka liściasta wodoodporna 24x1220x2440 WG/WG
24S09/03 MR	Sklejka liściasta suchotrwała 24x1220x2440 WG/WG
24S09/04 E	Sklejka liściasta wodoodporna 24x2440x1220 WG/WG
24S09/05 E	Sklejka liściasta wodoodporna 24x1250x2500 WG/WG
24S09/05 MR	Sklejka liściasta suchotrwała 22x1250x2500 WG/WG
24S09/06 E	Sklejka liściasta wodoodporna 24x2500x1250 WG/WG
24S09/11 E	Sklejka liściasta wodoodporna 24x1525x3050 WG/WG
24S09/12 E	Sklejka liściasta wodoodporna 24x1500x3000 WG/WG
24S09/29 E	Sklejka liściasta wodoodporna 24x1250x3050 WG/WG
24S09/76 E	Sklejka liściasta wodoodporna 24x1525x3660 WG/WG
24S10/02	Sklejka liściasta suchotrwała 24x1525x1525 C/C
24S10/03 E	Sklejka liściasta wodoodporna 24x1220x2440 C/C
24S10/05 E	Sklejka liściasta wodoodporna 24x1250x2500 C/C
24S10/05 E S2S	Sklejka liściasta wodoodporna 24x1250x2500 C/C S2S
24S10/06 E	Sklejka liściasta wodoodporna 24x2500x1250 C/C
24S10/11 E	Sklejka liściasta wodoodporna 24x1525x3050 C/C
24S11/02 E	Sklejka liściasta wodoodporna 24x1525x1525
24S11/03 E	Sklejka liściasta wodoodporna 24x1220x2440
24S11/03 E S2S	Sklejka liściasta wodoodporna 24x1220x2440 S2S
24S11/03 PQ/PQ	Sklejka liściasta suchotrwała 24x1220x2440
24S11/04 E S2S	Sklejka liściasta wodoodporna 24x2440x1220 S2S
24S11/05 E	Sklejka liściasta wodoodporna 24x1250x2500
24S11/05 E S2S	Sklejka liściasta wodoodporna 24x1250x2500 S2S
24S11/05 PQ F	Sklejka liściasta wodoodporna 24x1250x2500
24S11/07 E	Sklejka liściasta wodoodporna 24x1500x2500
24S11/07 E PQ	Sklejka liściasta wodoodporna 24x1500x2500
24S11/07 E S2S	Sklejka liściasta wodoodporna 24x1500x2500 S2S
24S11/07 PQ F	Sklejka liściasta wodoodporna 24x1500x2500
24S11/07 PQ/PQ	Sklejka liściasta foliowana 24x1500x2500
24S11/09 E	Sklejka liściasta wodoodporna 24x1525x2500
24S11/09 PQ	Sklejka liściasta wodoodporna 24x1525x2500
24S11/09 S2S	Sklejka liściasta wodoodporna 24x1525x2500 S2S
24S11/11 E	Sklejka liściasta wodoodporna 24x1525x3050
24S11/11 E S2S	Sklejka liściasta wodoodporna 24x1525x3050 S2S
24S11/12 E	Sklejka liściasta wodoodporna 24x1500x3000
24S11/12 E PQ	Sklejka liściasta wodoodporna 24x1500x3000
24S11/12 E S2S	Sklejka liściasta wodoodporna 24x1500x3000 S2S
24S11/12 MR	Sklejka liściasta suchotrwała 22x1500x3000
24S11/12 PQ/PQ	Sklejka liściasta foliowana 24x1500x3000
24S11/26 E PQ	Sklejka liściasta foliowana 24x2150x1250
24S11/26 PQ	Sklejka liściasta foliowana 24x2150x1250
24S11/29 E	Sklejka liściasta wodoodporna 24x1250x3050
24S11/42 E S2S	Sklejka liściasta wodoodporna 24x1500x1500 S2S
24S11/60 E	Sklejka liściasta wodoodporna 24x1250x2750
24S11/60 PQ	Sklejka liściasta wodoodporna 24x1250x2750
24S11/64 PQ	Sklejka liściasta wodoodporna 24x1200x2400
24S11/94 E	Sklejka liściasta wodoodporna 24x1250x3660
24S12/03 F/F black	Sklejka liściasta foliowana 24x1220x2440 F/F black
24S12/03 F/F grey	Sklejka liściasta foliowana 24x1220x2440 F/F grey
24S12/03 F/F white	Sklejka liściasta foliowana 24x1220x2440 F/F white
24S12/05 F/F	Sklejka liściasta foliowana 24x1250x2500 F/F
24S12/05 F/F CH	Sklejka topolowa foliowana 24x1250x2500 F/F
24S12/05 P/P	Sklejka liściasta foliowana 24x1250x2500 F/F PAINT
24S12/05 PREPRIME grey	Sklejka liściasta foliowana 24x1250x2500 F/F PREPRIME grey
24S12/09 F/F	Sklejka liściasta foliowana 24x1525x2500 F/F
24S12/12 F/F	Sklejka liściasta foliowana 24x1500x3000 F/F
24S12/12 PAINT	Sklejka liściasta foliowana 24x1500x3000 F/F PAINT
24S12/27 F/F PREPRIME	Sklejka liściasta foliowana 24x2150x3850 F/F PREPRIME
24S12/30 F/F	Sklejka liściasta foliowana 24x1250x3000 F/F
24S12/62 F/F	Sklejka liściasta foliowana 24x2150x3050 F/F
24S12/76 F/F PREPRIME	Sklejka liściasta foliowana 24x1525x3660 F/F PREPRIME
24S13/05 F/F	Sklejka liściasta foliowana 24x1250x2500F/F
24S13/11 F/F	Sklejka liściasta foliowana 24x1525x2230 F/F
24S13/12 F/F	Sklejka liściasta foliowana 24x1500x3000 F/F
24S14/03 F/W	Sklejka liściasta antypoślizgowa 24x1500x3000 F/W
24S14/03 F/W l. br.	Sklejka liściasta antypoślizgowa 24x1500x3000 F/W jasny brąz
24S14/05 F/W	Sklejka liściasta antypoślizgowa 24x1250x2500 F/W
24S14/05 F/W black	Sklejka liściasta antypoślizgowa 24x1250x2500 F/W czarna
24S14/05 F/W light brown	Sklejka liściasta antypoślizgowa 24x1250x2500 F/W jasny brąz
24S14/05 F/W logo LF	Sklejka liściasta antypoślizgowa 24x1250x2500 F/W logo LF
24S14/05 F/WH+	Sklejka liściasta antypoślizgowa 24x1250x2500 F/W heksa plus
24S14/07 F/W	Sklejka liściasta antypoślizgowa 24x1500x2500 F/W
24S14/09 F/W	Sklejka liściasta antypoślizgowa 24x1525x2500 F/W
24S14/09 F/W l.grey/d.br	Sklejka liściasta antypoślizgowa 24x1525x2500 F/W jasny szar/ciemny brąz
24S14/11 F/W	Sklejka liściasta antypoślizgowa 24x1525x3050 F/W
24S14/12 F/W	Sklejka liściasta antypoślizgowa 24x1500x3000 F/W
24S14/27 F/W	Sklejka liściasta antypoślizgowa 24x2150x3850 F/W
24S14/39 F/W	Sklejka liściasta antypoślizgowa 24x1220x2500 F/W
24S15/03 F/W	Sklejka liściasta antypoślizgowa 24x1220x2440 F/W
24S15/05 F/W	Sklejka liściasta antypoślizgowa 24x1250x2500 F/W
24S15/05 F/W logo	Sklejka liściasta antypoślizgowa 24x1250x2500 F/W logo
24S15/07 F/W	Sklejka liściasta antypoślizgowa 24x1500x2500 F/W
24S15/09 F/W	Sklejka liściasta antypoślizgowa 24x1525x2500 F/W
24S15/11 F/W	Sklejka liściasta antypoślizgowa 24x1525x3050 F/W
24S15/12 F/W	Sklejka liściasta antypoślizgowa 24x1500x3000 F/W
24S15/28 F/W	Sklejka liściasta antypoślizgowa 24x1525x3000 F/W
24S15/75 F/W	Sklejka liściasta antypoślizgowa 24x2150x4000 F/W
24S15/90 F/W	Sklejka liściasta antypoślizgowa 24x1525x3340 F/W
24S18/02	Sklejka liściasta suchotrwała 24x1525x1525 CP/C
24S18/02 B	Sklejka liściasta suchotrwała 24x1525x1525 CP/C
24S18/03 E	Sklejka liściasta wodoodporna 24x1220x2440 CP/C
24S18/04 E	Sklejka liściasta wodoodporna 24x2440x1220 CP/C
24S18/05 E	Sklejka liściasta wodoodporna 24x1250x2500 CP/C
24S18/06 E	Sklejka liściasta wodoodporna 24x2500x1250 CP/C
24S18/06 MR	Sklejka liściasta suchotrwała 24x2500x1250 CP/C
24S18/11 E	Sklejka liściasta wodoodporna 24x1525x3050 CP/C
24S18/11 MR	Sklejka liściasta suchotrwała 24x1525x3050 CP/C
24S18/12 E	Sklejka liściasta wodoodporna 24x1500x3000 CP/C
24S22/02	Sklejka liściasta suchotrwała 24x1525x1525 BB/C
24S22/02 E	sklejka liściasta sucha , gr. 24 mm
24S22/04 E	Sklejka liściasta wodoodporna 24x2440x1220 BB/C
24S22/05 E	Sklejka liściasta wodoodporna 24x1250x2500 BB/C
24S22/06 E	Sklejka liściasta wodoodporna 24x2500x1250 BB/C
24S22/11 E	Sklejka liściasta wodoodporna 24x1525x3050 BB/C
24S22/12 E	Sklejka liściasta wodoodporna 24x1500x3000 BB/C
24S28/06 E	Sklejka liściasta wodoodporna 24x2500x1250 S/WG
25S04/03 E	Sklejka liściasta wodoodporna 25x1220x2440 BB/BB
25S05/05 E	Sklejka liściasta wodoodporna 25x1250x2500 BB/CP
25S11/05 E	Sklejka liściasta wodoodporna 25x1250x2500
25S15/12 F/W	Sklejka liściasta antypoślizgowa 25x1500x3000 F/W
25S31/05	Płyta OSB3 25x1250x2500
25S32/05 P/W	Płyta budowlana OSB-3 22mm 1250x2500 P/W
25S32/72 P/W	Płyta budowlana OSB-3 25x675x2500 P/W
25S32/79 P/W	Płyta budowlana OSB-3 25mm 675x2500 P/W
27S03/06 E	Sklejka liściasta wodoodporna 27x2500x1250 S/BB
27S03/12 E	Sklejka liściasta wodoodporna 27x1500x3000 S/BB
27S04/ 2500x1070	Sklejka liściasta WD, gr. 27mm 27x2500x1070
27S04/04 E	Sklejka liściasta wodoodporna 27x2440x1220 BB/BB
27S04/05 E	Sklejka liściasta wodoodporna 27x1250x2500 BB/BB
27S04/06 E	Sklejka liściasta wodoodporna 27x2500x1250 BB/BB
27S04/1070x2870 E	Sklejka liściasta WD , gr. 27mm 1070x2870 mm
27S04/11 E	Sklejka liściasta wodoodporna 27x1525x3050 BB/BB
27S04/11 MR	Sklejka liściasta suchotrwała 27x1525x3050 BB/BB
27S04/12 E	Sklejka liściasta wodoodporna 27x1500x3000 BB/BB
27S04/12 MR	Sklejka liściasta suchotrwała 27x1500x3000 BB/BB
27S04/1540x1195 E	Sklejka liściasta WD trudnopalna , gr. 27mm 1540x1195mm
27S04/2325x1195 E	Sklejka liściasta WD trudnopalna , gr. 27mm 2325x1195mm
27S04/2500x870	Sklejka liściasta WD, gr. 27mm 2500x870
27S04/57 E	Sklejka liściasta wodoodporna 27x2150x3340 BB/BB
27S04/910x3050	Sklejka liściasta WD, gr. 27mm 27x910x3050
27S04/970x2870 E	Sklejka liściasta WD , gr. 27mm 970x2870mm
27S05/02	Sklejka liściasta suchotrwała 27x1525x1525 BB/CP
27S05/05 E	Sklejka liściasta wodoodporna 27x1250x2500 BB/CP
27S05/06 E	Sklejka liściasta wodoodporna 27x2500x1250 BB/CP
27S05/11 E	Sklejka liściasta wodoodporna 27x1525x3050 BB/CP
27S05/12 E	Sklejka liściasta wodoodporna 27x1500x3000 BB/CP
27S06/ MET 1195x545	sklejka liściasta WD, gr. 27mm 1195x545 mm
27S06/ MET 1195x745	sklejka liściasta WD, gr. 27mm 1195x745 mm
27S06/ MET 695x1095	sklejka liściasta WD, gr. 27mm 695x1095 mm
27S06/ MET 695x445	sklejka liściasta WD, gr. 27mm 695x445 mm
27S06/ MET 695x995	sklejka liściasta WD, gr. 27mm 695x995 mm
27S06/03 E	Sklejka liściasta wodoodporna 27x1220x2440 BB/WG
27S06/04 E	Sklejka liściasta wodoodporna 27x2440x1220 BB/WG
27S06/05 E	Sklejka liściasta wodoodporna 27x1250x2500 BB/WG
27S06/06 E	Sklejka liściasta wodoodporna 27x2500x1250 BB/WG
27S06/09 E	Sklejka liściasta wodoodporna 27x1525x2500 BB/WG
27S06/11 E	Sklejka liściasta wodoodporna 27x1525x3050 BB/WG
27S06/11 MR	Sklejka liściasta suchotrwała 27x1525x3050 BB/WG
27S06/12 E	Sklejka liściasta wodoodporna 27x1500x3000 BB/WG
27S06/26 E	Sklejka liściasta wodoodporna 27x2150x1250 BB/WG
27S06/27 E	Sklejka liściasta wodoodporna 27x2150x3850 BB/WG
27S06/75 E	Sklejka liściasta wodoodporna 27x2150x4000 BB/WG
27S06/76 E	Sklejka liściasta wodoodporna 27x1525x3660 BB/WG
27S07/05 E	Sklejka liściasta wodoodporna 27x1250x2500 CP/CP
27S07/06 E	Sklejka liściasta wodoodporna 27x2500x1250 CP/CP
27S07/11 E	Sklejka liściasta wodoodporna 27x1525x3050 CP/CP
27S07/12 E	Sklejka liściasta wodoodporna 27x1500x3000 CP/CP
27S09/03	Sklejka liściasta suchotrwała 27x1220x2440 WG/WG
27S09/03 E	Sklejka liściasta wodoodporna 27x1220x2440 WG/WG
27S09/04 E	Sklejka liściasta wodoodporna 27x2440x1220 WG/WG
27S09/05 E	Sklejka liściasta wodoodporna 27x1250x2500 WG/WG
27S09/06 E	Sklejka liściasta wodoodporna 27x2500x1250 WG/WG
27S09/11 E	Sklejka liściasta wodoodporna 27x1525x3050 WG/WG
27S09/26 E	Sklejka liściasta wodoodporna 27x2150x1250 WG/WG
27S09/27 E	Sklejka liściasta wodoodporna 27x2150x3850 WG/WG
27S09/29 E	Sklejka liściasta wodoodporna 27x1250x3050 WG/WG
27S09/76 E	Sklejka liściasta wodoodporna 27x1525x3660 WG/WG
27S10/07 E	Sklejka liściasta wodoodporna 27x1500x2500 C/C
27S10/09 E	Sklejka liściasta wodoodporna 27x1525x2500 C/C
27S10/11 E	Sklejka liściasta wodoodporna 27x1525x3050 C/C
27S10/12 E	Sklejka liściasta wodoodporna 27x1500x3000 C/C
27S10/60 E	Sklejka liściasta wodoodporna 27x1250x2750 C/C
27S11/03 E	Sklejka liściasta wodoodporna 27x1220x2440
27S11/03 E PQ	Sklejka liściasta foliowana 27x1220x2440
27S11/05 E	Sklejka liściasta wodoodporna 27x1250x2500
27S11/05 E S2S	Sklejka liściasta wodoodporna 27x1250x2500 S2S
27S11/05 PQ	Sklejka liściasta foliowana 27x1250x2500
27S11/07 E	Sklejka liściasta wodoodporna 27x1500x2500
27S11/07 E S2S	Sklejka liściasta wodoodporna 27x1500x2500 S2S
27S11/07 PQ	Sklejka liściasta suchotrwała 27x1500x2500
27S11/07 PQ F	Sklejka liściasta 27x1500x2500
27S11/07 PQ/PQ	Sklejka liściasta foliowana 27x1500x2500
27S11/09 E	Sklejka liściasta wodoodporna 27x1525x2500
27S11/09 E S2S	Sklejka liściasta wodoodporna 27x1525x2500 S2S
27S11/11 E S2S	Sklejka liściasta wodoodporna 27x1525x3050 S2S
27S11/11 PQ	Sklejka liściasta wodoodporna 27x1525x3050
27S11/12 E	Sklejka liściasta wodoodporna 27x1500x3000
27S11/12 E PQ	Sklejka liściasta wodoodporna 27x1500x3000
27S11/12 E S2S	Sklejka liściasta wodoodporna 27x1500x3000 S2S
27S11/26 E PQ	Sklejka liściasta wodoodporna 27x2150x1250
27S11/29 E PQ	Sklejka liściasta wodoodporna 27x1250x3050
27S11/52 E PQ	Sklejka liściasta wodoodporna 27x1500x2750
27S11/60 E S2S	Sklejka liściasta wodoodporna 27x1250x2750 S2S
27S11/76 E S2S	Sklejka liściasta wodoodporna 27x1525x3660 S2S
27S12/05 F/F	Sklejka liściasta foliowana 27x1250x2500 F/F
27S12/09 F/F	Sklejka liściasta foliowana 27x1525x2500 F/F
27S12/11 F/F	Sklejka liściasta foliowana 27x1525x3050 F/F
27S12/12 F/F	Sklejka liściasta foliowana 27x1500x3000 F/F
27S12/121 F/F	Sklejka liściasta foliowana 27x1205x2500 F/F
27S12/76 F/F	Sklejka liściasta foliowana 27x1525x3660 F/F
27S12/82 F/F	Sklejka liściasta foliowana 27x1500x3600 F/F
27S13/05 F/F	Sklejka liściasta foliowana 27x1250x2500 F/F
