Kod	Nazwa
065S12/60 F/F	Sklejka liściasta foliowana 6,5x1250x2750mm
065S12/64 F/F yell./d.br.	Sklejka liściasta foliowana 6,5x1200x2400 F/F yellow/d.br.
065S12/75 F/F grey	Sklejka liściasta foliowana 6,5x2150x4000 F/F szara
065S12/85 F/F grey/d.br	Sklejka liściasta foliowana 6,5x1900x3850 F/F szara/ciemny brąz
065S12/93 F/F grey	Sklejka liściasta foliowana 6,5x1900x4000 F/F szara
065S13/03 F/F opal white	Sklejka liściasta foliowana 6,5x1220x2440 F/F opal white
065S13/05 F/F	Sklejka liściasta foliowana 6,5x1250x2500 F/F
065S13/05 F/F black	Sklejka liściasta foliowana 6,5x1250x2500 F/F black
065S13/05 F/F grey	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara
065S13/05 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/brązowa
065S13/05 F/F yell/d.br	Sklejka liściasta foliowana 6,5x1250x2500 F/F żółta/ciemny brąz
065S13/05 M/F white/d.br.	Sklejka liściasta foliowana 6,5x1250x2500 biała/brązowa
065S13/05 M/M	Sklejka liściasta foliowana 6,5x1250x2500 M/M
065S13/07 F/WG	Sklejka liściasta foliowana 6,5x1500x2500 F/WG
065S13/09 F/F	Sklejka liściasta foliowana 6,5x1525x2500 F/F
065S13/104 F/F s.grey	Sklejka liściasta foliowana 6,5x1850x3660 F/F grey
065S13/107 F/F	Sklejka liściasta foliowana 6,5x1850x3660 F/F
065S13/11 F/F	Sklejka liściasta foliowana 6,5x1525x3050 F/F
065S13/11 F/F grey	Sklejka liściasta foliowana 6,5x1525x3050 F/F grey
065S13/11 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1525x3050 F/F szara/brąz
065S13/11 F/F l.br.	Sklejka liściasta foliowana 6,5x1525x3050 F/F jasny brąz
065S13/12 F/F	Sklejka liściasta foliowana 6,5x1500x3000 F/F
065S13/12 F/F grey	Sklejka liściasta foliowana 6,5x1500x3000 F/F szara
065S13/12 F/F l.br	Sklejka liściasta foliowana 6,5x1500x3000 F/F jasny brąz
065S13/120 F/F	Sklejka liściasta foliowana 6,5x1850x3340 F/F
065S13/120 F/F grey	Sklejka liściasta foliowana 6,5x1850x3340 F/F grey
065S13/120 F/F l.br	Sklejka liściasta foliowana 6,5x1850x3340 F/F light brown
065S13/27 F/F	Sklejka liściasta foliowana 6,5x2150x3850 F/F
065S13/27 F/F grey	Sklejka liściasta foliowana 6,5x2150x3850 F/F szary
065S13/29 F/F	Sklejka liściasta foliowana 6,5x1250x3050 F/F
065S13/30 F/BB	Sklejka liściasta foliowana 6,5x1250x3000 F/BB
065S13/57 F/F	Sklejka liściasta foliowana 6,5x2150x3340 F/F
065S13/57 F/F grey	Sklejka liściasta foliowana 6,5x2150x3340 F/F grey
065S13/60 F/F	Sklejka liściasta foliowana 6,5x1250x2750mm
065S13/62 F/F l.br	Sklejka liściasta foliowana 6,5x2150x3050 F/F jasny brąz
